epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6262,1.68401,3.1628,2.01827,0.00341,0.94231,0.18331,0.06567,1.80312,4.03764,2.58226,0.00010002,0.00010002,0.00010002
2,50.3878,1.63249,2.97103,1.95159,0.00336,0.9398,0.20429,0.08252,1.75607,3.98629,2.414,0.000212419,0.000212419,0.000212419
3,75.0214,1.50635,2.58409,1.79284,0.00331,0.92057,0.26529,0.11963,1.79877,3.91107,2.44971,0.000320197,0.000320197,0.000320197
4,99.6997,1.48459,2.56305,1.78221,0.00317,0.88211,0.31034,0.14743,1.65913,3.7051,2.28286,0.000423355,0.000423355,0.000423355
5,124.493,1.44428,2.36881,1.74194,0.00327,0.90134,0.28185,0.11151,1.94287,3.82608,2.50999,0.000521891,0.000521891,0.000521891
6,149.339,1.42373,2.25021,1.68642,0.10522,0.62207,0.28958,0.12172,2.27109,3.90697,3.03294,0.000615806,0.000615806,0.000615806
7,174.286,1.42944,2.20968,1.69231,0.28522,0.16137,0.1726,0.06098,1.89056,3.65933,2.63392,0.000705101,0.000705101,0.000705101
8,199.006,1.38803,2.19023,1.64853,0.38846,0.33528,0.27359,0.10526,1.87129,3.437,2.51948,0.000789775,0.000789775,0.000789775
9,223.859,1.41506,2.14272,1.6709,0.34532,0.1204,0.16683,0.06246,2.07001,3.70518,2.714,0.000869827,0.000869827,0.000869827
10,249.607,1.48512,2.14024,1.70789,0.21697,0.2408,0.13869,0.04514,2.07006,3.91392,2.8198,0.000945259,0.000945259,0.000945259
11,275.987,1.41641,1.99656,1.66915,0.23752,0.41548,0.19251,0.06998,1.9903,3.645,2.96541,0.00101607,0.00101607,0.00101607
12,302.69,1.47955,2.16863,1.74027,0.43224,0.27617,0.19629,0.07484,1.99903,3.70594,3.10583,0.00108226,0.00108226,0.00108226
13,329.628,1.50178,2.19588,1.75465,0.3258,0.32233,0.22339,0.08467,1.97042,3.72353,2.88677,0.00114383,0.00114383,0.00114383
14,356.729,1.39559,2.0393,1.6689,0.57409,0.23829,0.21259,0.08566,1.97365,4.5392,2.99721,0.00120078,0.00120078,0.00120078
15,383.732,1.46842,1.92037,1.69499,0.21804,0.40719,0.19101,0.07182,2.13073,5.78358,3.29082,0.00120491,0.00120491,0.00120491
16,410.756,1.35887,1.78124,1.58645,0.16006,0.27258,0.11298,0.03584,2.30424,7.99886,3.24444,0.0011719,0.0011719,0.0011719
17,437.749,1.4509,1.85752,1.67117,0.13818,0.27007,0.09491,0.02209,2.32924,9.59116,3.35469,0.00113889,0.00113889,0.00113889
18,464.889,1.40047,1.75122,1.61276,0.19987,0.30853,0.14109,0.05705,2.24599,7.40631,3.2598,0.00110589,0.00110589,0.00110589
19,492.166,1.37874,1.8109,1.62963,0.42484,0.31355,0.27018,0.09298,2.0864,4.94481,3.02222,0.00107288,0.00107288,0.00107288
20,519.549,1.33878,1.77285,1.62269,0.2877,0.41973,0.29161,0.10313,2.11702,3.56978,2.95612,0.00103987,0.00103987,0.00103987
